
Energies
--------
(a): Experimental energies, in inverse centimeters.
(b): Experimental errors, in inverse centimeters.
(c): Calculated energies, in inverse centimeters.
(d): Difference (a) - (b), in inverse centimeters.
(e): Difference (a) - (b), in MHz.
(f): Contribution to the total chi2.
    (a)         (b)         (c)          (d)         (e)        (f)  
46405.620000  0.300000  46403.220328   2.399672   7.194e+04  6.398e+01
46467.690000  0.300000  46468.006786  -0.316786  -9.497e+03  1.115e+00
47420.970000  0.300000  47421.203361  -0.233361  -6.996e+03  6.051e-01
47634.400000  0.300000  47634.214978   0.185022   5.547e+03  3.804e-01
47821.740000  0.300000  47822.560942  -0.820942  -2.461e+04  7.488e+00
48357.630000  0.300000  48353.122359   4.507641   1.351e+05  2.258e+02
48403.490000  0.300000  48394.839782   8.650218   2.593e+05  8.314e+02
48762.520000  0.300000  48764.627631  -2.107631  -6.319e+04  4.936e+01
48838.140000  0.300000  48836.053137   2.086863   6.256e+04  4.839e+01
48883.120000  0.300000  48876.949858   6.170142   1.850e+05  4.230e+02
49161.120000  0.300000  49161.794059  -0.674059  -2.021e+04  5.048e+00
49176.000000  0.300000  49177.269316  -1.269316  -3.805e+04  1.790e+01
49399.100000  0.300000  49399.204949  -0.104949  -3.146e+03  1.224e-01
49408.580000  0.300000  49409.033095  -0.453095  -1.358e+04  2.281e+00
49576.360000  0.300000  49576.395872  -0.035872  -1.075e+03  1.430e-02
49583.280000  0.300000  49583.268268   0.011732   3.517e+02  1.529e-03
49712.110000  0.300000  49712.054319   0.055681   1.669e+03  3.445e-02
49717.150000  0.300000  49717.113367   0.036633   1.098e+03  1.491e-02
49818.190000  0.300000  49818.197535  -0.007535  -2.259e+02  6.309e-04
49822.080000  0.300000  49822.053764   0.026236   7.865e+02  7.648e-03
49902.780000  0.300000  49902.800577  -0.020577  -6.169e+02  4.704e-03
49905.790000  0.300000  49905.817497  -0.027497  -8.243e+02  8.401e-03
49971.340000  0.300000  49971.318747   0.021253   6.372e+02  5.019e-03
49973.690000  0.300000  49973.727862  -0.037862  -1.135e+03  1.593e-02
50027.660000  0.300000  50027.584505   0.075495   2.263e+03  6.333e-02
50029.610000  0.300000  50029.540417   0.069583   2.086e+03  5.380e-02
50074.440000  0.300000  50074.353674   0.086326   2.588e+03  8.280e-02
50076.050000  0.300000  50075.963347   0.086653   2.598e+03  8.343e-02
50113.670000  0.300000  50113.648836   0.021164   6.345e+02  4.977e-03
50115.180000  0.300000  50114.988238   0.191762   5.749e+03  4.086e-01
50147.030000  0.300000  50146.981492   0.048508   1.454e+03  2.614e-02
50148.590000  0.300000  50148.105425   0.484575   1.453e+04  2.609e+00
50175.499462  0.000010  50175.499491  -0.000029  -8.674e-01  8.370e+00
50176.447184  0.000010  50176.447234  -0.000050  -1.507e+00  2.528e+01
50200.087072  0.000010  50200.087052   0.000020   6.047e-01  4.068e+00
50200.884090  0.000010  50200.884127  -0.000037  -1.110e+00  1.371e+01
50221.433573  0.000010  50221.433543   0.000030   8.872e-01  8.758e+00
50222.082355  0.000010  50222.082243   0.000112   3.347e+00  1.246e+02
50240.035775  0.000010  50240.035780  -0.000005  -1.405e-01  2.197e-01
50240.290618  0.000010  50240.290618   0.000000   4.779e-03  2.541e-04
50244.240350  0.000010  50244.240294   0.000056   1.684e+00  3.156e+01
50256.489825  0.000010  50256.489874  -0.000049  -1.477e+00  2.426e+01
50257.162357  0.000010  50257.162281   0.000076   2.287e+00  5.818e+01
50270.973044  0.000010  50270.972941   0.000103   3.098e+00  1.068e+02
50271.516211  0.000010  50271.516213  -0.000002  -7.060e-02  5.546e-02
50283.833875  0.000010  50283.833966  -0.000091  -2.733e+00  8.313e+01
50284.303041  0.000010  50284.303032   0.000009   2.707e-01  8.151e-01
50295.305744  0.000010  50295.305639   0.000105   3.133e+00  1.092e+02
50295.718328  0.000010  50295.718329  -0.000001  -4.475e-02  2.228e-02
50305.580853  0.000010  50305.580967  -0.000114  -3.411e+00  1.294e+02
50305.947641  0.000010  50305.947630   0.000011   3.294e-01  1.207e+00
50314.820778  0.000010  50314.820654   0.000124   3.727e+00  1.545e+02
50315.148609  0.000010  50315.148609  -0.000000  -3.963e-03  1.748e-04
50323.159280  0.000010  50323.159323  -0.000043  -1.282e+00  1.830e+01
50323.454188  0.000010  50323.454195  -0.000007  -2.235e-01  5.556e-01
50330.710371  0.000010  50330.710420  -0.000049  -1.475e+00  2.419e+01
50330.976713  0.000010  50330.976716  -0.000003  -1.012e-01  1.140e-01
50337.570183  0.000010  50337.570087   0.000096   2.889e+00  9.287e+01
50337.811520  0.000010  50337.811504   0.000016   4.785e-01  2.548e+00
50343.820307  0.000010  50343.820230   0.000077   2.317e+00  5.975e+01
50344.039856  0.000010  50344.039850   0.000006   1.667e-01  3.091e-01
50349.530858  0.000010  50349.530979  -0.000121  -3.623e+00  1.461e+02
50349.731398  0.000010  50349.731401  -0.000003  -9.273e-02  9.567e-02
50354.762544  0.000010  50354.762661  -0.000117  -3.497e+00  1.361e+02
50354.946093  0.000010  50354.946094  -0.000001  -2.282e-02  5.792e-03
50359.567535  0.000010  50359.567398   0.000137   4.107e+00  1.876e+02
50359.735749  0.000010  50359.735734   0.000015   4.417e-01  2.170e+00
50363.990461  0.000010  50363.990413   0.000048   1.427e+00  2.265e+01
50364.145263  0.000010  50364.145283  -0.000020  -6.097e-01  4.137e+00
50368.071084  0.000010  50368.071097  -0.000013  -3.787e-01  1.596e+00
50368.213919  0.000010  50368.213913   0.000006   1.868e-01  3.883e-01
50371.843894  0.000010  50371.843885   0.000009   2.742e-01  8.363e-01
50371.975864  0.000010  50371.975877  -0.000013  -3.796e-01  1.603e+00
50375.338979  0.000010  50375.338991  -0.000012  -3.724e-01  1.543e+00
50375.461220  0.000010  50375.461234  -0.000014  -4.098e-01  1.869e+00
50378.583090  0.000010  50378.583013   0.000077   2.319e+00  5.984e+01
50378.696447  0.000010  50378.696449  -0.000002  -4.788e-02  2.551e-02
